year,month,day,maxtemp,mintemp,rain,hum0830,hum1730
2007,12,1,30.6,21.3,0.0,83,74
2007,12,2,28.7,22.1,0.0,84,81
2007,12,3,30.6,22.4,0.0,81,75
2007,12,4,27.6,21.7,0.0,79,62
2007,12,5,31.0,22.4,0.0,79,96
2007,12,6,30.4,21.4,2.0,86,84
2007,12,7,28.2,21.7,2.9,84,69
2007,12,8,30.7,21.0,0.0,82,65
2007,12,9,30.0,22.8,0.0,75,68
2007,12,10,31.0,22.1,0.0,79,56
2007,12,11,31.2,21.5,0.0,83,58
2007,12,12,30.6,21.4,0.0,79,71
2007,12,13,29.5,22.6,0.6,75,75
2007,12,14,27.0,20.8,16.9,98,98
2007,12,15,23.3,21.4,27.8,96,77
2007,12,16,28.4,23.0,Trace,81,70
2007,12,17,29.7,23.0,0.0,80,96
2007,12,18,29.2,22.2,18.1,98,98
2007,12,19,23.9,22.0,172.6,98,96
2007,12,20,25.6,22.0,19.9,98,96
2007,12,21,27.7,23.3,29.1,95,83
2007,12,22,29.8,22.2,0.0,85,68
2007,12,23,29.8,21.0,0.0,91,65
2007,12,24,29.7,20.1,0.0,86,61
2007,12,25,30.0,19.1,0.0,86,57
2007,12,26,30.2,19.0,0.0,91,51
2007,12,27,30.1,20.0,0.0,89,62
2007,12,28,29.2,20.1,0.0,89,56
2007,12,29,30.1,20.6,0.0,90,60
2007,12,30,30.3,20.6,0.0,91,58
2007,12,31,30.9,21.6,0.0,88,62
2008,1,1,30.1,19.8,0.0,88,52
2008,1,2,30.0,19.5,0.0,76,53
2008,1,3,29.2,20.0,0.0,78,60
2008,1,4,29.8,23.1,0.0,83,73
2008,1,5,30.0,22.6,0.0,90,76
2008,1,6,27.8,19.5,4.7,81,63
2008,1,7,29.0,19.9,0.0,78,55
2008,1,8,29.0,19.4,0.0,75,56
2008,1,9,28.9,19.1,0.0,76,56
2008,1,10,29.6,20.0,0.0,88,54
2008,1,11,30.6,20.2,0.0,81,57
2008,1,12,30.3,20.0,0.0,84,58
2008,1,13,29.5,19.6,0.0,84,54
2008,1,14,29.5,19.7,0.0,89,55
2008,1,15,29.8,20.0,0.0,88,53
2008,1,16,30.0,19.6,0.0,91,51
2008,1,17,30.3,18.6,0.0,83,54
2008,1,18,29.7,18.2,0.0,79,51
2008,1,19,28.8,17.3,0.0,87,50
2008,1,20,29.2,17.9,0.0,82,44
2008,1,21,30.4,20.6,0.0,85,49
2008,1,22,31.8,22.7,0.0,85,48
2008,1,23,32.1,21.1,0.0,85,44
2008,1,24,30.7,19.6,0.0,86,43
2008,1,25,31.1,19.8,0.0,91,41
2008,1,26,31.8,21.4,0.0,87,56
2008,1,27,32.3,22.5,0.0,84,54
2008,1,28,32.6,22.6,0.0,79,53
2008,1,29,31.6,22.9,0.0,88,54
2008,1,30,31.8,22.6,0.0,88,53
2008,1,31,32.7,24.0,0.0,87,42
2008,2,1,33.6,23.4,0.0,84,35
2008,2,2,33.3,23.2,0.0,84,35
2008,2,3,32.8,23.4,0.0,88,49
2008,2,4,31.7,23.1,0.0,81,39
2008,2,5,32.2,22.9,0.0,84,39
2008,2,6,31.7,21.2,0.0,82,40
2008,2,7,31.7,22.4,0.0,79,40
2008,2,8,32.3,24.0,0.0,78,59
2008,2,9,32.6,24.3,0.0,90,52
2008,2,10,31.7,24.7,23.3,92,81
2008,2,11,32.8,23.8,0.4,84,66
2008,2,12,30.7,23.2,10.0,89,57
2008,2,13,31.6,23.7,1.6,87,40
